date,home,away,odds_home,odds_draw,odds_away,prob_home,prob_draw,prob_away
2026-04-01 00:00:00,Iraq,Bolivia,3.08,2.89,2.41,0.2991,0.3187,0.3822
2026-03-31 00:00:00,Bosnia,Italy,6.86,4.19,1.47,0.1369,0.2242,0.6389
2026-03-31 00:00:00,Czech Republic,Denmark,3.69,3.34,2.03,0.2549,0.2817,0.4634
2026-03-31 00:00:00,DR Congo,Jamaica,1.6,3.26,6.18,0.5715,0.2805,0.148
2026-03-31 00:00:00,Kosovo,Turkey,3.76,3.46,1.95,0.2491,0.2707,0.4803
2026-03-31 00:00:00,Sweden,Poland,2.08,3.33,3.51,0.451,0.2817,0.2673
2026-03-27 00:00:00,New Caledonia,Jamaica,27.4,11.83,1.04,0.0337,0.0781,0.8882
2026-03-26 00:00:00,Bolivia,Suriname,2.41,2.96,3.0,0.382,0.3111,0.3069
2026-03-26 00:00:00,Czech Republic,Ireland,1.96,3.35,3.92,0.4796,0.2806,0.2398
2026-03-26 00:00:00,Denmark,North Macedonia,1.19,6.63,14.92,0.7941,0.1425,0.0633
2026-03-26 00:00:00,Italy,Northern Ireland,1.24,5.73,13.39,0.7639,0.1653,0.0707
2026-03-26 00:00:00,Poland,Albania,1.6,3.64,6.23,0.5895,0.2591,0.1514
2026-03-26 00:00:00,Slovakia,Kosovo,2.37,3.01,3.24,0.397,0.3126,0.2904
2026-03-26 00:00:00,Turkey,Romania,1.43,4.74,6.61,0.6587,0.1987,0.1425
2026-03-26 00:00:00,Ukraine,Sweden,3.27,3.24,2.23,0.2877,0.2904,0.4219
2026-03-26 00:00:00,Wales,Bosnia,1.66,3.76,5.23,0.5685,0.251,0.1805
2025-11-19 00:00:00,Costa Rica,Honduras,1.49,3.98,5.88,0.6143,0.23,0.1557
2025-11-19 00:00:00,Guatemala,Suriname,3.32,3.3,2.05,0.2758,0.2775,0.4467
2025-11-19 00:00:00,Haiti,Nicaragua,1.18,6.21,12.53,0.7787,0.148,0.0733
2025-11-19 00:00:00,Jamaica,Curacao,1.9,3.17,4.02,0.4826,0.2893,0.2281
2025-11-19 00:00:00,Panama,El Salvador,1.11,7.73,18.89,0.8317,0.1194,0.0489
2025-11-19 00:00:00,Trinidad & Tobago,Bermuda,1.07,9.72,20.89,0.8611,0.0948,0.0441
2025-11-18 00:00:00,Austria,Bosnia,1.32,5.32,8.42,0.7118,0.1766,0.1116
2025-11-18 00:00:00,Belarus,Greece,8.32,5.3,1.32,0.1127,0.1769,0.7104
2025-11-18 00:00:00,Belgium,Liechtenstein,1.0,45.69,71.08,0.9653,0.0211,0.0136
2025-11-18 00:00:00,Bulgaria,Georgia,4.38,3.63,1.78,0.2143,0.2585,0.5272
2025-11-18 00:00:00,Iraq,United Arab Emirates,2.38,2.78,3.27,0.387,0.3313,0.2817
2025-11-18 00:00:00,Kosovo,Switzerland,4.55,3.41,1.81,0.2063,0.2752,0.5185
2025-11-18 00:00:00,Romania,San Marino,1.01,21.53,59.82,0.94,0.0441,0.0159
2025-11-18 00:00:00,Scotland,Denmark,3.51,3.35,2.07,0.2671,0.2799,0.453
2025-11-18 00:00:00,Spain,Turkey,1.18,7.23,13.69,0.8004,0.1306,0.069
2025-11-18 00:00:00,Sweden,Slovenia,1.68,3.62,5.24,0.5603,0.26,0.1796
2025-11-18 00:00:00,Wales,North Macedonia,1.58,3.91,5.67,0.5943,0.2401,0.1656
2025-11-17 00:00:00,Czech Republic,Gibraltar,1.02,19.5,53.12,0.9333,0.0488,0.0179
2025-11-17 00:00:00,Germany,Slovakia,1.27,5.75,9.56,0.7387,0.1632,0.0981
2025-11-17 00:00:00,Malta,Poland,9.53,5.11,1.31,0.0986,0.1839,0.7175
2025-11-17 00:00:00,Montenegro,Croatia,6.4,4.4,1.47,0.1469,0.2136,0.6395
2025-11-17 00:00:00,Netherlands,Lithuania,1.05,13.89,34.56,0.9042,0.0684,0.0275
2025-11-17 00:00:00,Northern Ireland,Luxembourg,1.88,3.1,4.79,0.5003,0.3034,0.1963
2025-11-16 00:00:00,Albania,England,10.76,4.99,1.3,0.0875,0.1886,0.7239
2025-11-16 00:00:00,Azerbaijan,France,20.94,8.39,1.12,0.0451,0.1125,0.8425
2025-11-16 00:00:00,Hungary,Ireland,2.02,3.21,3.84,0.464,0.292,0.2441
