date,team,opponent,competition,venue,result,gf,ga
2026-04-01 00:00:00,Iraq,Bolivia,WC Qualifiers,home,W,2,1
2026-03-31 00:00:00,Bosnia,Italy,WC Qualifiers,home,D,1,1
2026-03-31 00:00:00,Czech Republic,Denmark,WC Qualifiers,home,D,1,1
2026-03-31 00:00:00,DR Congo,Jamaica,WC Qualifiers,home,D,0,0
2026-03-26 00:00:00,Czech Republic,Ireland,WC Qualifiers,home,D,2,2
2026-03-26 00:00:00,Bosnia,Wales,WC Qualifiers,away,D,1,1
2025-11-19 00:00:00,Panama,El Salvador,WC Qualifiers,home,W,3,0
2025-11-18 00:00:00,Austria,Bosnia,WC Qualifiers,home,D,1,1
2025-11-18 00:00:00,Bosnia,Austria,WC Qualifiers,away,D,1,1
2025-11-18 00:00:00,Iraq,United Arab Emirates,WC Qualifiers,home,W,2,1
2025-11-18 00:00:00,Switzerland,Kosovo,WC Qualifiers,away,D,1,1
2025-11-17 00:00:00,Czech Republic,Gibraltar,WC Qualifiers,home,W,6,0
2025-11-17 00:00:00,Croatia,Montenegro,WC Qualifiers,away,W,3,2
2025-11-16 00:00:00,England,Albania,WC Qualifiers,away,W,2,0
2025-11-16 00:00:00,France,Azerbaijan,WC Qualifiers,away,W,3,1
2025-11-16 00:00:00,Norway,Italy,WC Qualifiers,away,W,4,1
2025-11-16 00:00:00,DR Congo,Nigeria,WC Qualifiers,away,D,1,1
2025-11-16 00:00:00,Portugal,Armenia,WC Qualifiers,home,W,9,1
2025-11-15 00:00:00,Bosnia,Romania,WC Qualifiers,home,W,3,1
2025-11-15 00:00:00,Austria,Cyprus,WC Qualifiers,away,W,2,0
2025-11-15 00:00:00,Switzerland,Sweden,WC Qualifiers,home,W,4,1
2025-11-14 00:00:00,Croatia,Faroe Islands,WC Qualifiers,home,W,3,1
2025-11-14 00:00:00,Panama,Guatemala,WC Qualifiers,away,W,3,2
2025-11-13 00:00:00,DR Congo,Cameroon,WC Qualifiers,away,W,1,0
2025-11-13 00:00:00,England,Serbia,WC Qualifiers,home,W,2,0
2025-11-13 00:00:00,France,Ukraine,WC Qualifiers,home,W,4,0
2025-11-13 00:00:00,Portugal,Ireland,WC Qualifiers,away,L,0,2
2025-11-13 00:00:00,Norway,Estonia,WC Qualifiers,home,W,4,1
2025-11-13 00:00:00,Iraq,United Arab Emirates,WC Qualifiers,away,D,1,1
2025-10-15 00:00:00,Panama,Suriname,WC Qualifiers,home,D,1,1
2025-10-14 00:00:00,Algeria,Uganda,WC Qualifiers,home,W,2,1
2025-10-14 00:00:00,DR Congo,Sudan,WC Qualifiers,home,W,1,0
2025-10-14 00:00:00,England,Latvia,WC Qualifiers,away,W,5,0
2025-10-14 00:00:00,Portugal,Hungary,WC Qualifiers,home,D,2,2
2025-10-14 00:00:00,Qatar,United Arab Emirates,WC Qualifiers,home,W,2,1
2025-10-14 00:00:00,Iraq,Saudi Arabia,WC Qualifiers,away,D,0,0
2025-10-14 00:00:00,Senegal,Mauritania,WC Qualifiers,home,W,4,0
2025-10-14 00:00:00,South Africa,Rwanda,WC Qualifiers,home,W,3,0
2025-10-13 00:00:00,France,Iceland,WC Qualifiers,away,D,2,2
2025-10-13 00:00:00,Switzerland,Slovenia,WC Qualifiers,away,D,0,0
2025-10-12 00:00:00,Croatia,Gibraltar,WC Qualifiers,home,W,3,0
2025-10-12 00:00:00,Czech Republic,Faroe Islands,WC Qualifiers,away,L,1,2
2025-10-12 00:00:00,Ghana,Comoros,WC Qualifiers,home,W,1,0
2025-10-12 00:00:00,Austria,Romania,WC Qualifiers,away,L,0,1
2025-10-11 00:00:00,Panama,El Salvador,WC Qualifiers,away,W,1,0
2025-10-11 00:00:00,Iraq,Indonesia,WC Qualifiers,home,W,1,0
2025-10-11 00:00:00,Norway,Israel,WC Qualifiers,home,W,5,0
2025-10-11 00:00:00,Portugal,Ireland,WC Qualifiers,home,W,1,0
2025-10-10 00:00:00,France,Azerbaijan,WC Qualifiers,home,W,3,0
2025-10-10 00:00:00,Senegal,South Sudan,WC Qualifiers,away,W,5,0
2025-10-10 00:00:00,Switzerland,Sweden,WC Qualifiers,away,W,2,0
2025-10-10 00:00:00,DR Congo,Togo,WC Qualifiers,away,W,1,0
2025-10-10 00:00:00,South Africa,Zimbabwe,WC Qualifiers,away,D,0,0
2025-10-09 00:00:00,Austria,San Marino,WC Qualifiers,home,W,10,0
2025-10-09 00:00:00,Bosnia,Cyprus,WC Qualifiers,away,D,2,2
2025-10-09 00:00:00,Czech Republic,Croatia,WC Qualifiers,home,D,0,0
2025-10-09 00:00:00,Croatia,Czech Republic,WC Qualifiers,away,D,0,0
2025-10-09 00:00:00,Algeria,Somalia,WC Qualifiers,away,W,3,0
